ball, box
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
3, 1
3, 1
4, 2
3, 1
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
3, 1
4, 2
3, 1
4, 2
2, 0
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
3, 1
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 1
3, 1
4, 2
4, 2
3, 1
3, 1
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
3, 1
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
3, 1
4, 2
3, 1
4, 2
3, 1
3, 1
3, 1
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
2, 0
3, 1
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
3, 1
4, 2
3, 1
3, 1
4, 2
3, 1
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
4, 2
3, 1
4, 2
3, 1
3, 1
4, 2
4, 2
4, 2
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
3, 1
4, 2
3, 1
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
5, 2
3, 1
3, 1
3, 1
4, 2
4, 2
4, 2
4, 2
4, 2
4, 2
3, 1
3, 1
4, 2
4, 2
4, 2
4, 2
2, 0
4, 2
